LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
MUNICIPALITY OF KUALA LUMPUR,IMBI,UMNO - MCA,,CHAN CHEE HONG
MUNICIPALITY OF KUALA LUMPUR,IMBI,UMNO - MCA,,CHEAH EWE KEAT
MUNICIPALITY OF KUALA LUMPUR,IMBI,UMNO - MCA,,DOUGLAS K. K. LEE
MUNICIPALITY OF KUALA LUMPUR,IMBI,IMP,,T. R. MARKS
MUNICIPALITY OF KUALA LUMPUR,IMBI,LABOUR,,K. C. CHIA
MUNICIPALITY OF KUALA LUMPUR,IMBI,IMP,,CHUA BOON GUAN
MUNICIPALITY OF KUALA LUMPUR,IMBI,IMP,,E. RAMACHANDRAM
MUNICIPALITY OF KUALA LUMPUR,IMBI,LABOUR,,HO TEE CHIM
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,INDEPENDENT,,S.C. E'SINGAM
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,IMP,,K.L. DEVASER
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,IMP,,DEVAKI KRISHNAN
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,UMNO - MCA,,AHMAD BIN HAJI MAHMOOD
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,UMNO - MCA,,RAJA MOHAHMED BIN RAJA ALLANG
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,LABOUR,,S.KARALASINGAM
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,IMP,,T. RAJENDRA
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,UMNO - MCA,,ELSIE SOMASUNDRAM
MUNICIPALITY OF KUALA LUMPUR,PETALING,UMNO - MCA,,CHAN KWONG-HON
MUNICIPALITY OF KUALA LUMPUR,PETALING,UMNO - MCA,,ONG YOKE LIN
MUNICIPALITY OF KUALA LUMPUR,PETALING,UMNO - MCA,,Y. T. LEE
MUNICIPALITY OF KUALA LUMPUR,PETALING,IMP,,NG KOK THOY
MUNICIPALITY OF KUALA LUMPUR,PETALING,IMP,,LEONG HOE YENG
MUNICIPALITY OF KUALA LUMPUR,PETALING,IMP,,LOKE SOH LIP
MUNICIPALITY OF KUALA LUMPUR,PETALING,INDEPENDENT,,A. THARMALINGAM
MUNICIPALITY OF KUALA LUMPUR,PETALING,INDEPENDENT,,V. G. T. SINGAM
MUNICIPALITY OF KUALA LUMPUR,PETALING,LABOUR,,YAP CHONG KUEN
MUNICIPALITY OF KUALA LUMPUR,SENTUL,UMNO - MCA,,ABDULLAH YASSIN
MUNICIPALITY OF KUALA LUMPUR,SENTUL,UMNO - MCA,,YAHAYA BIN SHEIKH AHMAD
MUNICIPALITY OF KUALA LUMPUR,SENTUL,UMNO - MCA,,SALLEH HAKIM
MUNICIPALITY OF KUALA LUMPUR,SENTUL,IMP,,ABDUL AZIZ BIN ISHAK
MUNICIPALITY OF KUALA LUMPUR,SENTUL,IMP,,MOHAMED TAHIR BIN KUTEH
MUNICIPALITY OF KUALA LUMPUR,SENTUL,IMP,,K.V. THAVER
MUNICIPALITY OF KUALA LUMPUR,SENTUL,RENTPAYERS,,PAWANCHIK BIN MOHAMED