STATE,LOCAL AUTHORITY,TERMINATION OF SUSPENSION ORDERS FOR LOCAL GOVERNMENT ELECTIONS,NOMINATION DAY,POLLING DAY,TOTAL ELECTORATE,TOTAL VOTING ELECTORATE,NOTE
NEGRI SEMBILAN,SEREMBAN TOWN COUNCIL,28/2/1961,21/3/1961,22/4/1961,,,
NEGRI SEMBILAN,KUALA PILAH TOWN COUNCIL,31/3/1961,5/4/1961,22/4/1961,,,
PERLIS,KANGAR TOWN COUNCIL,31/3/1961,16/4/1961,14/5/1961,,,
KEDAH,ALOR STAR TOWN COUNCIL,19/4/1961,7/5/1961,4/6/1961,,,
KEDAH,KULIM TOWN COUNCIL,19/4/1961,9/5/1961,6/6/1961,,,
KEDAH,SUNGEI PATANI TOWN COUNCIL,19/4/1961,14/5/1961,11/6/1961,,,
PERAK,TAIPING TOWN COUNCIL,31/3/1961,12/4/1961,13/5/1961,,,
PERAK,KUALA KANGSAR TOWN COUNCIL,31/3/1961,12/4/1961,13/5/1961,,,
PERAK,IPOH TOWN COUNCIL,31/3/1961,12/4/1961,13/5/1961,,,
PERAK,KAMPAR TOWN COUNCIL,31/3/1961,12/4/1961,13/5/1961,,,
PERAK,TAPAH TOWN COUNCIL,31/3/1961,12/4/1961,13/5/1961,,,
PERAK,TELOK ANSON TOWN COUNCIL,31/3/1961,12/4/1961,13/5/1961,,,
PERAK,TANJONG MALIM TOWN COUNCIL,31/3/1961,12/4/1961,13/5/1961,,,
JOHORE,JOHORE BAHRU TOWN COUNCIL,31/3/1961,24/4/1961,24/5/1961,21865,21865,
JOHORE,BANDAR MAHARANI TOWN COUNCIL,31/3/1961,24/4/1961,24/5/1961,17366,8705,
JOHORE,BANDAR PENGGARAM TOWN COUNCIL,31/3/1961,24/4/1961,24/5/1961,14305,7143,"Due to death of candidate for Shahbandar ward, elections were postponed to 19/6/1961"
JOHORE,KLUANG TOWN COUNCIL,31/3/1961,24/4/1961,24/5/1961,11701,6623,
JOHORE,SEGAMAT TOWN COUNCIL,31/3/1961,24/4/1961,24/5/1961,5410,2995,
JOHORE,PONTIAN TOWN COUNCIL,31/3/1961,24/4/1961,24/5/1961,2702,1873,
JOHORE,KOTA TINGGI TOWN COUNCIL,31/3/1961,24/4/1961,24/5/1961,2625,1365,
JOHORE,MERSING TOWN COUNCIL,31/3/1961,24/4/1961,24/5/1961,2375,1049,
PAHANG,KUALA LIPIS TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,3521,936,
PAHANG,RAUB TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,5048,3772,
PAHANG,BENTONG TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,7578,6706,
PAHANG,TEMERLOH & MENTEKAB TOWN COUNCIL,31/3/1961,26/4/1961,27/5/1961,4748,3417,
PAHANG,KUANTAN TOWN COUNCIL,31/3/1961,26/4/1961,27/5/1961,8168,6700,
MALACCA,MALACCA MUNICIPAL COUNCIL,31/3/1961,28/4/1961,27/5/1961,,,
MALACCA,MALACCA TENGAH RURAL DISTRICT COUNCIL,31/3/1961,14/4/1961,13/5/1961,,,
MALACCA,ALOR GAJAH RURAL DISTRICT COUNCIL,31/3/1961,14/4/1961,13/5/1961,,,
MALACCA,JASIN RURAL DISTRICT COUNCIL,31/3/1961,14/4/1961,13/5/1961,,,
SELANGOR,KLANG TOWN COUNCIL,30/4/1961,16/5/1961,17/6/1961,,,
TRENGGANU,KUALA TRENGGANU TOWN COUNCIL,30/4/1961,24/5/1961,24/6/1961,,,
TRENGGANU,BESUT TOWN COUNCIL,30/4/1961,27/5/1961,27/6/1961,,,
TRENGGANU,DUNGUN TOWN COUNCIL,30/4/1961,1/6/1961,29/6/1961,,,
TRENGGANU,KEMAMAN TOWN COUNCIL,30/4/1961,1/6/1961,29/6/1961,,,
PENANG,PROVINCE NORTH - RURAL DISTRICT COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
PENANG,BUTTERWORTH TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
PENANG,BUKIT MERTAJAM TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
PENANG,PROVINCE CENTRAL - RURAL DISTRICT COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
PENANG,PROVINCE SOUTH - RURAL DISTRICT COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
PENANG,PENANG ISLAND - RURAL DISTRICT COUNCIL,31/3/1961,25/4/1961,27/7/1961,,,
PENANG,"CITY OF GEORGE TOWN, PENANG",31/3/1961,25/4/1961,27/5/1961,,,
KELANTAN,KOTA BHARU TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
KELANTAN,PASIR MAS TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
KELANTAN,MACHANG TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
KELANTAN,BACHOK TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
KELANTAN,TUMPAT TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
KELANTAN,PASIR PUTEH TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,
KELANTAN,KUALA KRAI TOWN COUNCIL,31/3/1961,19/4/1961,20/5/1961,,,