COUNCIL,DIVISION,WARD NUMBER,WARD NAME,COALITION/PARTY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,CANDIDATE VOTES,STATUS,UNCONTESTED VICTORY
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,6,BAJI/MERUDU,ALLIANCE,YII SUK YONG,MALE,,145,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,7,BULAT SOUTH/PENINJAU,SUPP,WONG CHUNG HING,MALE,,405,WON,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,7,BULAT SOUTH/PENINJAU,ALLIANCE,WONG CHING YII,MALE,,87,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,8,BULAT NORTH/SEBANYAK,SUPP,CHUONG KHUAI,MALE,,445,WON,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,8,BULAT NORTH/SEBANYAK,ALLIANCE,CHEN TONG SING,MALE,,264,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,9,BELAWAI,INDEPENDENT,HJ. KIP BIN SARABAYA,MALE,,229,WON,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,9,BELAWAI,INDEPENDENT,RAMBLI BIN NOH,MALE,,42,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,9,BELAWAI,INDEPENDENT,HJ. TARAL BIN NAEI,MALE,,20,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,10,PALOH,INDEPENDENT,MATERANG BIN ISA,MALE,,,WON,Y
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,11,NYELONG EAST,SUPP,CHIEW PAK MING,MALE,,342,WON,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,11,NYELONG EAST,ALLIANCE,BRUANG ANAK PENGUANG,MALE,,177,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,12,SUNGAI RUSA,SUPP,LAU PAK,MALE,,152,WON,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,12,SUNGAI RUSA,ALLIANCE,PONG ANAK UJANG,MALE,,78,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,13,SUNGAI SARIKEI ULU,ALLIANCE,BALONG ANAK BATU,MALE,,334,WON,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,13,SUNGAI SARIKEI ULU,INDEPENDENT,BANTA ANAK AGOK,MALE,,108,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,14,MERUTON/PAOH,SUPP,LAU SIEW HANG,MALE,,237,WON,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,14,MERUTON/PAOH,ALLIANCE,CHEN CHIEW FOO,MALE,,106,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,14,MERUTON/PAOH,INDEPENDENT,KIJON ANAK CHABU,MALE,,35,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,15,SARE,INDEPENDENT,BILIANG ANAK TINGGI,MALE,,213,WON,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,15,SARE,SUPP,ADIN ANAK JAMPANG,MALE,,207,LOST,N
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,16,REJANG,INDEPENDENT,BUJANG BIN IKRAM,MALE,,,WON,Y
SARIKEI DISTRICT COUNCIL,THIRD DIVISION,17,JERIJEH/SELALANG,INDEPENDENT,AWANG DRAHMAN BIN AWANG UNA,MALE,,,WON,Y
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,1,IGAN,INDEPENDENT,SANYUT BIN HAJI BUSRI,MALE,,343,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,1,IGAN,ALLIANCE,HANUAR BIN SAMUNI,MALE,,338,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,2,PASAI SIONG,INDEPENDENT,PENGHULU POH ANAK KAYA,MALE,,380,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,2,PASAI SIONG,ALLIANCE,GALAU ANAK UMBONG,MALE,,347,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,3,RASAU,INDEPENDENT,BADANG ANAK GAMAU,MALE,,327,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,3,RASAU,INDEPENDENT,LING BENG SUNG,MALE,,263,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,3,RASAU,ALLIANCE,NGELAMBAI ANAK UBIT,MALE,,134,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,3,RASAU,INDEPENDENT,ENTILI ANAK GELAU,MALE,,121,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,3,RASAU,INDEPENDENT,AKAM ANAK SAYONG,MALE,,34,LOST DEPOSIT,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,4,PENASU,ALLIANCE,PENGHULU CHUNDI ANAK RESA,MALE,,329,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,4,PENASU,INDEPENDENT,JIMBAT ANAK NALAU,MALE,,223,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,4,PENASU,SUPP,MUGANG ANAK NYANGGU,MALE,,143,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,4,PENASU,INDEPENDENT,LU TECK HUI,MALE,,82,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,5,LASSA,ALLIANCE,JONATHAN BANGGAU ANAK RENANG,MALE,,439,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,5,LASSA,INDEPENDENT,JANG ANAK KANDAWANG,MALE,,108,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,5,LASSA,INDEPENDENT,ASSAN ANAK BERARIE,MALE,,108,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,5,LASSA,INDEPENDENT,LING BENG HUI,MALE,,43,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,5,LASSA,SUPP,JIMBAT ANAK IGANG,MALE,,21,LOST DEPOSIT,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,6,BAWANG ASSAN,INDEPENDENT,LING BENG SIONG,MALE,,657,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,6,BAWANG ASSAN,SUPP,TANG TUN KING,MALE,,190,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,6,BAWANG ASSAN,INDEPENDENT,T. R. GUANG ANAK BARING,MALE,,15,LOST DEPOSIT,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,7,LAN,SUPP,WONG KWONG YU,MALE,,382,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,7,LAN,INDEPENDENT,TING SII PUONG,MALE,,59,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,7,LAN,INDEPENDENT,HA MEE TOH,MALE,,41,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,8,PAN,SUPP,WONG ING YING,MALE,,263,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,8,PAN,INDEPENDENT,KANG HING YII,MALE,,185,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,9,KUNYIT,SUPP,TING SU CHAI,MALE,,267,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,9,KUNYIT,INDEPENDENT,TING MING HUI,MALE,,201,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,10,MA'AW,INDEPENDENT,LAU KIE KUANG,MALE,,253,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,10,MA'AW,INDEPENDENT,LAU NAI KUONG,MALE,,157,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,11,ENSURAI,INDEPENDENT,HII UNG CHI,MALE,,339,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,11,ENSURAI,INDEPENDENT,LING UNG SIEW,MALE,,85,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,12,DASSAN,SUPP,TING LIK KII,MALE,,308,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,13,SELALO,SUPP,TING PIK KONG,MALE,,210,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,13,SELALO,INDEPENDENT,TING MING HOI,MALE,,203,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,13,SELALO,INDEPENDENT,TIONG HIEW KING,MALE,,120,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,13,SELALO,INDEPENDENT,KEE SIAU KING,MALE,,71,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,14,ASSAN,INDEPENDENT,PENGABANG ANAK IMPAK,MALE,,294,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,14,ASSAN,INDEPENDENT,LING DEE HUA,MALE,,68,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,14,ASSAN,INDEPENDENT,MENGGA ANAK SALANG,MALE,,237,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,14,ASSAN,INDEPENDENT,WONG TING LEW,MALE,,199,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,14,ASSAN,INDEPENDENT,TUAN ANAK UNAN,MALE,,131,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,15,ENGKILO,SUPP,KONG KIEK MEW,MALE,,453,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,15,ENGKILO,INDEPENDENT,WONG HIENG TUNG,MALE,,58,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,16,TEKU,SUPP,TAN NGUON SIEW,MALE,,273,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,16,TEKU,INDEPENDENT,PAU TIEN HA,MALE,,143,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,17,SEDUAN,SUPP,LOH KWONG CHIONG,MALE,,366,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,17,SEDUAN,INDEPENDENT,GOH KONG GEE,MALE,,26,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,17,SEDUAN,INDEPENDENT,TING TIENG TONG,MALE,,163,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,18,KELADI,SUPP,T. R. TIBUOH ANAK RANTAI,MALE,,249,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,18,KELADI,INDEPENDENT,LUBAN ANAK JALA,MALE,,75,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,18,KELADI,INDEPENDENT,F. LAMMERT,MALE,,204,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,19,DUDONG,SUPP,CHONG HUA TONG,MALE,,475,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,19,DUDONG,INDEPENDENT,CHIENG ING SIONG,MALE,,176,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,20,MENYAN,ALLIANCE,ANJI ANAK JUDI,MALE,,417,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,20,MENYAN,INDEPENDENT,AMPI ANAK PENGHULU PILANG,MALE,,284,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,21,PAK,SUPP,YAP TEAN JIN,MALE,,501,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,21,PAK,INDEPENDENT,KEPU ANAK LIANG,MALE,,118,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,21,PAK,INDEPENDENT,KONG CHUI HUA,MALE,,59,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,22,NAMAN,SUPP,SANDAH ANAK PENGHULU JARAU,MALE,,567,WON,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,22,NAMAN,INDEPENDENT,LIEW FUI CHONG,MALE,,19,LOST DEPOSIT,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,22,NAMAN,INDEPENDENT,AJAK ANAK JENANG,MALE,,348,LOST,N
SIBU RURAL DISTRICT COUNCIL,THIRD DIVISION,22,NAMAN,INDEPENDENT,SABAN ANAK NGALAMBAI,MALE,,81,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,1,UPPER ISLAND,SUPP,WEE HOE SOON,MALE,,522,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,1,UPPER ISLAND,SUPP,LAI HAN YU,MALE,,505,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,1,UPPER ISLAND,INDEPENDENT,YAO PING LING,MALE,,108,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,1,UPPER ISLAND,ALLIANCE,CHUA CHUI THONG,MALE,,100,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,2,LOWER ISLAND,SUPP,KHOO PENG LOONG,MALE,,329,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,2,LOWER ISLAND,SUPP,JOHN LAO KIING CHONG,MALE,,312,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,2,LOWER ISLAND,ALLIANCE,LING BENG SIEW,MALE,,268,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,2,LOWER ISLAND,INDEPENDENT,TING ING MIENG,MALE,,92,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,2,LOWER ISLAND,INDEPENDENT,LAW PANG HIEW,MALE,,37,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,3,UPPER KAMPONG,ALLIANCE,WAN HAMID MASHHOR,MALE,,489,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,3,UPPER KAMPONG,ALLIANCE,ABG. HAJI MOHD. TRANG BIN ABG. MOHD. NOR,MALE,,486,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,3,UPPER KAMPONG,PANAS,ABDUL RAHIM BIN HAJI TAHA,MALE,,380,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,3,UPPER KAMPONG,PANAS,ABG. HAJI ABDUL RAZAK BIN A. HAMID,MALE,,372,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,4,LOWER KAMPONG,ALLIANCE,AINNIE BIN DHOBY,MALE,,660,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,4,LOWER KAMPONG,ALLIANCE,FRANCIS LOUIS BARIENG,MALE,,607,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,4,LOWER KAMPONG,INDEPENDENT,PHILIP ATAN,MALE,,277,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,4,LOWER KAMPONG,INDEPENDENT,HAMDEN HAJI MERAIS,MALE,,268,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,4,LOWER KAMPONG,INDEPENDENT,JAMAL BIN HAJI DRIS,MALE,,34,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,5,RACE COURSE,INDEPENDENT,PETER JONG KUET SIONG,MALE,,329,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,5,RACE COURSE,SUPP,ANTHONY TEO TIAO GIN,MALE,,239,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,5,RACE COURSE,ALLIANCE,TING TUNG MING,MALE,,236,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,5,RACE COURSE,ALLIANCE,V. G. BANDONG,MALE,,140,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,5,RACE COURSE,PANAS,HAJI ZAIN BIN SEDIK,MALE,,65,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,5,RACE COURSE,INDEPENDENT,AUGUSTINE DRUCE,MALE,,49,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,5,RACE COURSE,INDEPENDENT,BHATTACHARYYA RABINDRA BIJOY,MALE,,19,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,6,SUNGEI MERAH,SUPP,TOH GEOK CHOON,MALE,,351,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,6,SUNGEI MERAH,SUPP,HARRY WONG TECK PING,MALE,,318,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,6,SUNGEI MERAH,INDEPENDENT,TENG CHIN HUA,MALE,,210,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,6,SUNGEI MERAH,INDEPENDENT,TING TIEN SIEW,MALE,,208,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,SUPP,CHEE GUAN KIAT,MALE,,1433,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,SUPP,CHAI TSEN TUEI,MALE,,1429,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,SUPP,CHIEN CHOON HUA,MALE,,1415,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,SUPP,LING KUOK LOONG,MALE,,1331,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,ALLIANCE,KONG SUNG SENG,MALE,,285,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,ALLIANCE,PANG MING SENG,MALE,,245,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,INDEPENDENT,TANG MING ANG,MALE,,185,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,ALLIANCE,WONG DIING KAI,MALE,,171,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,INDEPENDENT,CHEE SING YEONG,MALE,,161,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,7,BUKIT ASSEK,ALLIANCE,CHOO TIANG BOK,MALE,,146,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,8,LANANG ROAD,SUPP,CHEW KIM POON,MALE,,1121,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,8,LANANG ROAD,SUPP,LIM CHIO SAI,MALE,,1061,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,8,LANANG ROAD,SUPP,YU HIENG KU,MALE,,985,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,8,LANANG ROAD,INDEPENDENT,LEE YU YONG,MALE,,222,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,8,LANANG ROAD,ALLIANCE,TAN KIM POI,MALE,,140,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,8,LANANG ROAD,ALLIANCE,TING MING KING,MALE,,139,LOST DEPOSIT,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,9,SALIM,SUPP,KONG CHUNG SIEW,MALE,,409,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,9,SALIM,SUPP,HII POH YEW,MALE,,383,WON,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,9,SALIM,INDEPENDENT,CHIENG HIE KWONG,MALE,,190,LOST,N
SIBU URBAN DISTRICT COUNCIL,THIRD DIVISION,9,SALIM,ALLIANCE,LING BENG HUNG,MALE,,116,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,1,KELABIT PLATEAU,INDEPENDENT,GALIH BALANG @ AGAN RAJA,MALE,,381,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,1,KELABIT PLATEAU,INDEPENDENT,INAN MULUN @ ABUN IWAT,MALE,,104,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,1,KELABIT PLATEAU,INDEPENDENT,BALA PALABA @ LIAN TAPAN,MALE,,87,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,2,LIO MATU,INDEPENDENT,TAMA JALONG NGAU,MALE,,,WON,Y
BARAM DISTRICT COUNCIL,FOURTH DIVISION,3,ULU BARAM,INDEPENDENT,"TEMENGGONG OYONG LAWAI JAU, M.B.E., Q.C.C.,",MALE,69,,WON,Y
BARAM DISTRICT COUNCIL,FOURTH DIVISION,4,AKAH/PATAH,INDEPENDENT,"PENGHULU JOK NGAU, M.B.E.,",MALE,,,WON,Y
BARAM DISTRICT COUNCIL,FOURTH DIVISION,5,UPPER TINJAR,INDEPENDENT,PENGHULU BALAN LEJAU,MALE,,,WON,Y
BARAM DISTRICT COUNCIL,FOURTH DIVISION,6,LONG MIRI,INDEPENDENT,ABING NAWAN,MALE,,274,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,6,LONG MIRI,INDEPENDENT,ANYI KEBING,MALE,,266,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,7,LONG LAMA,INDEPENDENT,OYONG DING WAN,MALE,,449,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,7,LONG LAMA,INDEPENDENT,PENGHULU BIN MAJANG,MALE,,282,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,8,APOH,INDEPENDENT,T. K. AKAM AJANG,MALE,,,WON,Y
BARAM DISTRICT COUNCIL,FOURTH DIVISION,9,TUTOH,INDEPENDENT,PENGHULU BAYA MALANG,MALE,,205,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,9,TUTOH,INDEPENDENT,MAHDI BIN MAJANG,MALE,,200,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,10,PUYUT,INDEPENDENT,CHUNDI ANAK LIBOH,MALE,,,WON,Y
BARAM DISTRICT COUNCIL,FOURTH DIVISION,11,LOWER BARAM,INDEPENDENT,HAJI WAN YUBI,MALE,,189,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,11,LOWER BARAM,INDEPENDENT,HAJI ABDUL MANAN BIN AHMAD RAIS,MALE,,130,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,12,MARUDI,INDEPENDENT,LO MING HUA,MALE,,218,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,12,MARUDI,INDEPENDENT,TIONG SAY BOK,MALE,,62,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,12,MARUDI,INDEPENDENT,AWANG MONTIL BIN AWANG GADOR,MALE,,39,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,13,LUBOK NIBONG,INDEPENDENT,LING HO NANG,MALE,,340,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,13,LUBOK NIBONG,INDEPENDENT,NYAMBONG ANAK KILAT,MALE,,235,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,13,LUBOK NIBONG,INDEPENDENT,HII CHEE TOH,MALE,,134,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,14,LOWER BAKONG,INDEPENDENT,MUNAP ANAK SUNOK,MALE,,403,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,14,LOWER BAKONG,INDEPENDENT,JOHN MUDA ANAK JUBIN,MALE,,188,LOST,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,15,BELURU/UPPER BAKONG,INDEPENDENT,T. R. JADOT ANAK NYAMBAR,MALE,,,WON,Y
BARAM DISTRICT COUNCIL,FOURTH DIVISION,16,TERU/PEKING,INDEPENDENT,PENGHULU ENTRI ANAK SANYAH,MALE,,,WON,Y
BARAM DISTRICT COUNCIL,FOURTH DIVISION,17,LOWER TINJAR,INDEPENDENT,GAYU AVIT @ TAMA ITANG GAYU,MALE,,268,WON,N
BARAM DISTRICT COUNCIL,FOURTH DIVISION,17,LOWER TINJAR,INDEPENDENT,SUJANG ANAK MELAR,MALE,,253,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,1,ULU ANAP,ALLIANCE,T. R. BANYING ANAK KAMARAU,MALE,,,WON,Y
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,2,MIDDLE TATAU,ALLIANCE,JUBIN ANAK MAGGA,MALE,,337,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,2,MIDDLE TATAU,INDEPENDENT,BILONG ANAK KESING,MALE,,119,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,2,MIDDLE TATAU,INDEPENDENT,LUTUN ANAK NALONG,MALE,,102,LOST,N
