COUNCIL,DIVISION,WARD NUMBER,WARD NAME,COALITION/PARTY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,CANDIDATE VOTES,STATUS,UNCONTESTED VICTORY
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,2,MIDDLE TATAU,INDEPENDENT,JAMIT ANAK JELEMA,MALE,,99,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,2,MIDDLE TATAU,INDEPENDENT,KELAMBU ANAK MATU,MALE,,31,LOST DEPOSIT,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,3,TATAU,ALLIANCE,KALOM ANAK LATIP,MALE,,371,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,3,TATAU,INDEPENDENT,MAHRAN BIN AHMAD,MALE,,96,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,4,KUALA TATAU,ALLIANCE,NANANG ANAK ENTIGAR,MALE,,347,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,4,KUALA TATAU,ALLIANCE,LIBAN ANAK MERUM,MALE,,99,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,5,ULU KEMENA,INDEPENDENT,T. R. SANG ANAK BUJANG,MALE,,66,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,5,ULU KEMENA,INDEPENDENT,HARRY PETER BUXTON,MALE,,39,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,6,MIDDLE KEMENA,PANAS,T. K. JOHARI BIN SUNANG,MALE,,319,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,6,MIDDLE KEMENA,INDEPENDENT,T. R. SAGING ANAK MELIEU,MALE,,260,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,6,MIDDLE KEMENA,INDEPENDENT,SULTAN ANAK AMBONG,MALE,,76,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,7,ULU PANDAN,ALLIANCE,T. R. MEDAN ANAK SURANG,MALE,,224,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,7,ULU PANDAN,SUPP,TEGONG ANAK GUMBA,MALE,,88,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,7,ULU PANDAN,INDEPENDENT,T. R. JANOP ANAK MADANG,MALE,,11,LOST DEPOSIT,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,8,LOWER PANDAN,ALLIANCE,PENGHULU MANI ANAK STANG,MALE,,201,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,8,LOWER PANDAN,INDEPENDENT,GARAK ANAK MUT,MALE,,159,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,8,LOWER PANDAN,SUPP,SIRAI ANAK EMBOI,MALE,,11,LOST DEPOSIT,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,9,LOWER SEBAUH,SUPP,P'NG TAI YOK,MALE,,195,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,9,LOWER SEBAUH,INDEPENDENT,JILAN ANAK NYEGANG,MALE,,131,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,9,LOWER SEBAUH,PANAS,SABIR ALI KHAN,MALE,,107,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,9,LOWER SEBAUH,ALLIANCE,LIKONG ANAK REMONG,MALE,,47,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,9,LOWER SEBAUH,ALLIANCE,MOH LIONG GANG,MALE,,16,LOST DEPOSIT,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,10,SEBAUH RIVER,ALLIANCE,PENGHULU ABOK ANAK JALIN,MALE,,,WON,Y
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,11,UPPER BINTULU,ALLIANCE,KAMBAR BIN BUDIN,MALE,,288,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,11,UPPER BINTULU,PANAS,YAMAN BIN PEDOL,MALE,,284,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,11,UPPER BINTULU,INDEPENDENT,MOHD. ATAHAR KHAN,MALE,,169,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,11,UPPER BINTULU,SUPP,ARSAT BIN LAGOR,MALE,,55,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,12,JEPAK,PANAS,AWANG ISMAIL BIN PENGIRAN ZAINUDDIN,MALE,,507,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,12,JEPAK,ALLIANCE,AHMAD BIN SULONG,MALE,,86,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,12,JEPAK,INDEPENDENT,SIGIYONH ANAK BUNIAU,MALE,,64,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,13,BINTULU,PANAS,ISMAIL BIN HAJI SEBLI,MALE,,225,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,13,BINTULU,ALLIANCE,MOHD. ASGHAR KHAN,MALE,,155,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,14,BAZAAR,ALLIANCE,GOH NYIAP JOON,MALE,,230,WON,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,14,BAZAAR,ALLIANCE,CHARLES TAN EWE IK,MALE,,95,LOST,N
BINTULU DISTRICT COUNCIL,FOURTH DIVISION,14,BAZAAR,INDEPENDENT,LAW HONG CHIAW,MALE,,51,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,1,BAZAAR,SUPP,YANG SIEW SIANG,MALE,,383,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,1,BAZAAR,SUPP,CHIA KIEN HUI,MALE,,369,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,1,BAZAAR,ALLIANCE,CHIA CHIN SHIN,MALE,,230,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,1,BAZAAR,ALLIANCE,CHAN YONG KAW,MALE,,221,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,2,RIVER,PANAS,MUIP BIN TABIB,MALE,,272,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,2,RIVER,ALLIANCE,MOHD. SEPAWI BIN MOHD. JAHAR,MALE,,267,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,2,RIVER,ALLIANCE,ABANG SERUJI BIN YUSOF,MALE,,266,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,2,RIVER,PANAS,TUAH AZHARI BIN HJ. BOJENG,MALE,,236,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,2,RIVER,SUPP,HENG KEA SENG,MALE,,192,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,2,RIVER,SUPP,KHO TIANG BOON,MALE,,175,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,3,KUBU,ALLIANCE,JAMES FRIDAY YOUNG,MALE,,94,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,3,KUBU,PANAS,HJ. SHAHADAN BIN BOJENG,MALE,,66,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,3,KUBU,SUPP,TEO SIANG ANN,MALE,,39,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,3,KUBU,INDEPENDENT,T. C. LIM,MALE,,30,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,3,KUBU,INDEPENDENT,WEE KIT CHONG,MALE,,24,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,3,KUBU,INDEPENDENT,JOHN TAN,MALE,,12,LOST DEPOSIT,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,4,MERBAU,SUPP,SIM SONG CHAY,MALE,,225,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,4,MERBAU,ALLIANCE,TANG CHIOK SING,MALE,,93,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,4,MERBAU,INDEPENDENT,KHOO CHOO KEN,MALE,,8,LOST DEPOSIT,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,5,MERPATI,ALLIANCE,REDUAN BIN TUAH JOHARI,MALE,,231,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,5,MERPATI,PANAS,OBE HAIRUMI BIN A. WAHAB,MALE,,109,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,5,MERPATI,SUPP,LIEW KIM MOI,MALE,,83,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,6,BINTANG,ALLIANCE,GEORGE EDWARD JOLLY,MALE,,226,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,6,BINTANG,PANAS,UDIK BIN HASSAN,MALE,,70,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,6,BINTANG,SUPP,TAN HAI BENG,MALE,,53,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,7,KROKOP,SUPP,LEE SIE TONG,MALE,,359,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,7,KROKOP,SUPP,LIM CHEE HIAN,MALE,,340,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,7,KROKOP,INDEPENDENT,LAU KIM KUAN,MALE,,146,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,7,KROKOP,INDEPENDENT,LEE TECK FOOK,MALE,,98,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,8,PUJUT,SUPP,ANTHONY SIA TIEW LIENG,MALE,,184,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,8,PUJUT,PANAS,ABANG ZEN BIN ABG. SARKAWI,MALE,,178,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,8,PUJUT,ALLIANCE,ABDUL RAHMAN BIN AWG. TIMBANG,MALE,,92,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,9,LUTONG,ALLIANCE,EDWARD JELI,MALE,39,372,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,9,LUTONG,ALLIANCE,HJ. WAN SAZALI,MALE,,358,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,9,LUTONG,INDEPENDENT,JAMES TING CHING PANG,MALE,,217,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,9,LUTONG,INDEPENDENT,JOHN LEONG CHEE YUN,MALE,,128,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,9,LUTONG,SUPP,CHAI HON KONG,MALE,,117,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,9,LUTONG,PANAS,AMIR YUSUFF,MALE,,75,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,10,KUALA BARAM,PANAS,YAHYA BIN IBRAHMAN,MALE,,173,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,10,KUALA BARAM,SUPP,VUN SUI HIN,MALE,,107,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,10,KUALA BARAM,ALLIANCE,ABDUL GHANI BIN MUNTOS KHAN,MALE,,99,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,11,TANJONG,INDEPENDENT,G. W. GEIKIE,MALE,,134,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,11,TANJONG,SUPP,AMAT BIN GARAM,MALE,,81,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,11,TANJONG,PANAS,SULAIMAN BIN AWANG MARANG,MALE,,74,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,11,TANJONG,ALLIANCE,MAHARI BIN MOKTI,MALE,,31,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,12,LOPENG,SUPP,TAN SIK PHENG,MALE,,188,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,12,LOPENG,INDEPENDENT,SIGAI BIN OTHMAN,MALE,,91,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,12,LOPENG,ALLIANCE,YANG SHUN CHAI,MALE,,81,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,13,RIAM,SUPP,LEE CHOK MOI,MALE,,468,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,13,RIAM,SUPP,BONG CHIN MEAW,MALE,,464,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,13,RIAM,ALLIANCE,NGIE CHUNG JIN,MALE,,80,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,13,RIAM,INDEPENDENT,YONG YAW NAM,MALE,,56,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,13,RIAM,INDEPENDENT,VOON NAM THIAN,MALE,,27,LOST DEPOSIT,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,14,PAKAM,SUPP,LIEW KHIAN,MALE,,293,WON,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,14,PAKAM,PANAS,HJ. YUSOP BIN DRAHMAN,MALE,,201,LOST,N
MIRI DISTRICT COUNCIL,FOURTH DIVISION,14,PAKAM,ALLIANCE,MOHAMED BIN SARUDIN,MALE,,78,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,1,SATAP,INDEPENDENT,PANGIS BIN DUHAK,MALE,,203,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,1,SATAP,INDEPENDENT,WAHAB ENTEBANG BIN BRAIN,MALE,,28,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,2,BEKENU,INDEPENDENT,CHUNG SHAW PIN,MALE,,112,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,2,BEKENU,INDEPENDENT,ADENAN BIN DRAHMAN,MALE,,102,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,2,BEKENU,INDEPENDENT,SIM KHENG CHONG,MALE,,14,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,3,BUNGAI,INDEPENDENT,SUHAILI BIN BA',MALE,,,WON,Y
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,4,TIRIS,INDEPENDENT,HAJI MANAI BIN SILA,MALE,,179,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,4,TIRIS,INDEPENDENT,LAU FAN KAU,MALE,,136,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,5,KELULIT,INDEPENDENT,T. K. ISA BIN HAJI ALI,MALE,,,WON,Y
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,6,BAKAS,INDEPENDENT,DASU ANAK MUSIN,MALE,,,WON,Y
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,7,ULU SIBUTI,INDEPENDENT,LIAN ANAK MAING,MALE,,117,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,7,ULU SIBUTI,INDEPENDENT,BANGGAU ANAK BUNDAN,MALE,,92,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,8,NIAH,INDEPENDENT,WAN AHMAD BIN TUANKU OMAR,MALE,,189,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,8,NIAH,INDEPENDENT,KHO THUAN LIP,MALE,,94,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,8,NIAH,INDEPENDENT,AWANG ABU TALIP BIN PENGIRAN JOHARI,MALE,,33,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,9,SAEH,ALLIANCE,BADAK ANAK BAKIT,MALE,,173,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,9,SAEH,INDEPENDENT,MERBOT BIN JANGAN,MALE,,18,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,9,SAEH,INDEPENDENT,SALLEH BIN RIKIS,MALE,,1,LOST DEPOSIT,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,10,BATU,SUPP,LEE FONG CHEW,MALE,,,WON,Y
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,11,ULU NIAH,ALLIANCE,BAGOL ANAK BARAN,MALE,,91,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,11,ULU NIAH,INDEPENDENT,LASAN ANAK ETOT,MALE,,27,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,12,SUAI,INDEPENDENT,SALLEH BIN SERAWAI,MALE,,108,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,12,SUAI,INDEPENDENT,ABDUL RAHMAN BIN KUDA,MALE,,55,LOST,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,13,ULU SUAI,INDEPENDENT,PENGHULU GUYANG ANAK NISAR,MALE,,92,WON,N
SUBIS DISTRICT COUNCIL,FOURTH DIVISION,13,ULU SUAI,INDEPENDENT,MENENG BIN NYIRIPANG,MALE,,83,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,1,LAWAS TOWN,INDEPENDENT,LIAW CHOO KUN,MALE,,196,WON,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,1,LAWAS TOWN,ALLIANCE,AWANG SAMAN BIN KARIM,MALE,,61,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,2,LAWAS RURAL,ALLIANCE,AWANG DAUD BIN MATUSSIN,MALE,,258,WON,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,2,LAWAS RURAL,INDEPENDENT,HAJI ZAINAL ABIDIN,MALE,,80,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,3,LAWAS DAMIT,INDEPENDENT,ABAI TUI,MALE,,,WON,Y
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,4,LONG SEMADOH,INDEPENDENT,RACHA UMONG,MALE,,,WON,Y
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,5,BAH KELALAN,INDEPENDENT,LABO KAPONG,MALE,,,WON,Y
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,6,MIDDLE TRUSAN,INDEPENDENT,BAGUL ANAK LUPONG,MALE,,161,WON,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,6,MIDDLE TRUSAN,INDEPENDENT,BARU AGONG,MALE,,128,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,6,MIDDLE TRUSAN,INDEPENDENT,LOH TENG KONG,MALE,,75,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,7,TRUSAN ROAD,INDEPENDENT,LIAW CHIN BENG,MALE,,,WON,Y
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,8,LOWER TRUSAN,ALLIANCE,AWANGKU JAWA BIN PENGIRAN HAJI AMJAH,MALE,,97,WON,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,8,LOWER TRUSAN,INDEPENDENT,PENGIRAN HAJI HARAN BIN PENGIRAN HAJI GANI,MALE,,56,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,9,SUNDAR RURAL,ALLIANCE,AWANGKU MATYASSIN BIN PENGIRAN BURUT,MALE,,,WON,Y
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,10,SUNDAR TOWN,INDEPENDENT,MAK YAU LIM,MALE,,,WON,Y
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,11,AWAT AWAT,INDEPENDENT,MATSAPAR BIN DURAHMAN,MALE,,107,WON,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,11,AWAT AWAT,INDEPENDENT,HAJI MATUSSIN BIN JALIL,MALE,,24,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,12,PUNANG,ALLIANCE,HASHIM BIN DAMIT,MALE,,177,WON,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,12,PUNANG,ALLIANCE,PENGIRAN MATKASIM BIN PENGIRAN DAMID,MALE,,132,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,12,PUNANG,INDEPENDENT,LATIP BIN OTHMAN,MALE,,46,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,13,KUALA LAWAS,INDEPENDENT,PENGIRAN MUMIN BIN ALMARHOM PENGIRAN TENGAH METALI,MALE,,234,WON,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,13,KUALA LAWAS,ALLIANCE,AWANG BAGOL BIN AWANG DAUD,MALE,,188,LOST,N
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,14,LOWER MERAPOK,ALLIANCE,KULA BIN OSMAN,MALE,,,WON,Y
LAWAS DISTRICT COUNCIL,FIFTH DIVISION,15,UPPER MERAPOK,ALLIANCE,BINA ANAK LANGUP,MALE,,,WON,Y
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,1,ULU LIMBANG,INDEPENDENT,JAMES WONG,MALE,,,WON,Y
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,2,PANDARUAN/LUBAI,ALLIANCE,ANTHONY BELAYONG ANAK BEAT,MALE,,,WON,Y
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,3,DANAU,INDEPENDENT,YEO LENG SOON,MALE,,238,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,3,DANAU,INDEPENDENT,HUSSNI BIN ABDULLAH,MALE,,85,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,4,TELAHAK/IPAI,INDEPENDENT,HAJI ABU BAKAR BIN ABDULLAH,MALE,,,WON,Y
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,5,TABAHAN,INDEPENDENT,MOHD. TARIP BIN BURUT,MALE,,112,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,5,TABAHAN,INDEPENDENT,HASSAN BIN MOMIN,MALE,,61,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,6,LIMBANG BAZAAR,INDEPENDENT,LIM CHUI SENG,MALE,,83,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,6,LIMBANG BAZAAR,INDEPENDENT,ANG KENG SU,MALE,,66,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,6,LIMBANG BAZAAR,INDEPENDENT,YONG UNG PING,MALE,,38,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,6,LIMBANG BAZAAR,INDEPENDENT,LIM KIM BOY,MALE,,27,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,6,LIMBANG BAZAAR,INDEPENDENT,TEO ENG LEONG,MALE,,8,LOST DEPOSIT,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,7,BANGKITA,INDEPENDENT,AWANG AMING BIN AWANG BAKIR,MALE,,125,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,7,BANGKITA,INDEPENDENT,HABIBOLLAH BIN MAJID,MALE,,117,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,8,RANGGAU,INDEPENDENT,HAJI SALLEH BIN SAHAR,MALE,,183,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,8,RANGGAU,INDEPENDENT,HAJI NOKMAN BIN HJ. BASI,MALE,,171,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,9,SG. POYAN/BERAWAN,INDEPENDENT,AHIM BIN BURUT,MALE,,217,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,9,SG. POYAN/BERAWAN,INDEPENDENT,APONG ANAK AWA,MALE,,213,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,9,SG. POYAN/BERAWAN,INDEPENDENT,PUANG LIING YEW,MALE,,38,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,9,SG. POYAN/BERAWAN,INDEPENDENT,LUJI (JOAKIN) ANAK TUGANG,MALE,,36,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,10,UKONG,INDEPENDENT,YASAU ANAK MANGGI,MALE,,178,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,10,UKONG,INDEPENDENT,HIDUP ANAK ITAI,MALE,,176,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,11,MEDAMIT,INDEPENDENT,GAWAN ANAK JANGGA,MALE,,,WON,Y
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,12,SEBUKANG,INDEPENDENT,AMAT BIN TUAH @ MATYAHU,MALE,,141,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,12,SEBUKANG,INDEPENDENT,AWANG DAMIT KAMBAR BIN AWANG KADIR,MALE,,87,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,12,SEBUKANG,INDEPENDENT,HAJI LUDIN BIN KAHAN,MALE,,25,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,13,BUKIT KOTA,INDEPENDENT,T. K. MATASSAN BIN SAMAD,MALE,,138,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,13,BUKIT KOTA,INDEPENDENT,AWANG TAHIR BIN HASSAN,MALE,,98,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,14,LIMBANG RESIDENTIAL,INDEPENDENT,AWANG BAJA BIN AWANG BESAR,MALE,,64,WON,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,14,LIMBANG RESIDENTIAL,INDEPENDENT,RAHAM DOLAH BIN MAJID,MALE,,55,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,14,LIMBANG RESIDENTIAL,INDEPENDENT,WONG AH SOON,MALE,,49,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,14,LIMBANG RESIDENTIAL,INDEPENDENT,WONG TING CHEW,MALE,,34,LOST,N
LIMBANG DISTRICT COUNCIL,FIFTH DIVISION,15,PENDAM,INDEPENDENT,AWG. SAHAT BIN TAHIR,MALE,,,WON,Y